,author_id,id,text,created_at,Keyword,geo
90,281093896,1450114023853264896,"🔩 Robot FANUC R-2000iB Camshaft Machining Center automotive appl
engineparts machining TranTek's Courtesy Robotics
https://t.co/929GNEHaJR
Post on @Flipboard - https://t.co/9GJ3mU4X9l",2021-10-18T14:58:19.000Z,APPL,
91,1332233904162435075,1450113952780746753,@appl_jus thank u sm :),2021-10-18T14:58:02.000Z,APPL,
92,1128161036647817216,1450112220197580803,@appl_jus Based as always Tobias 1,2021-10-18T14:51:09.000Z,APPL,
93,1242510628473966592,1450111569782837253,"The largest company in cloud mining
Get Bonus 30% ⬇️
https://t.co/htaQf9zreG

$cciv $spce $blnk $wkhs $solo $pola $nio $tsla $ipoe  $dsgt $tpii $opti $neca $hcmc $cbbt $idex $tspg $tsnp $ayro $boxl $appl $enzc $alyi $appl $cciv $alpp $pton $novn $ctrm $atvk $btc $jmia $plug https://t.co/BmQZNLpKXH",2021-10-18T14:48:34.000Z,APPL,
94,912078364193820672,1450111116303126530,"Waiting for the breakdown on $SPY, then going to enter $APPL puts.",2021-10-18T14:46:46.000Z,APPL,
95,749714035101339648,1450108260846129152,@Vega1000k @appl_moi_sam @Text_kph @Ju54647103 @MandirNiang @le_voituron @Jabami_Yu @CurtisGoldenBoy @Neptune277 oh le QI négatif du reuf,2021-10-18T14:35:25.000Z,APPL,
96,1037817989180149760,1450108209390305282,"@WSJmarkets #FED members dumped #stocks  including $AMZN, $TSLA and $APPL in preparation to #StockMarket crash, using ""ethics concern"" as BS excuse! 

https://t.co/9yUt5F6Lae",2021-10-18T14:35:13.000Z,APPL,
97,897798731675963392,1450108203728052228,"Ladies and gentlemen this is our President!

#Trump2024 

https://t.co/Flep7OxqSV",2021-10-18T14:35:12.000Z,APPL,
98,415731237,1450106943947755520,"@jimrosecircus1 Check out the first all-female R&amp;R band, Fanny, signed to a multi-album deal in 1969. I co-host the “Get Behind Fanny” podcast. https://t.co/nSPTRY3vh1",2021-10-18T14:30:11.000Z,APPL,{'place_id': '013379ee5729a5e6'}
99,1450106497489276934,1450106583090749445,"فكرتك أنت فكرة واحدة، وشعورك أنت شعور واحد، وخيالك
The meaning you appl
♕• ﻜٕوِدٓ •♕
﷼ ﺧٕٓصٍٓمٍٰ ﷼
كريم (C29)
زهور الريف ( ZA44106 )
ريفي ايهرب",2021-10-18T14:28:45.000Z,APPL,
100,1450106227434864656,1450106582700892175,"فكرتك أنت فكرة واحدة، وشعورك أنت شعور واحد، وخيالك
The meaning you appl
♕• ﻜٕوِدٓ •♕
﷼ ﺧٕٓصٍٓمٍٰ ﷼
كريم (C29)
زهور الريف ( ZA44106 )
ريفي ايهرب",2021-10-18T14:28:45.000Z,APPL,
101,1132246008912465920,1450106412164599809,"美股焚化爐 211018 - 中美零售/ 老美銀行賺到笑/ 微軟關中國LinkedIn/ 妖股維珍，漂亮美鋁/ 個股：Tsla，TSM，Appl，Intel/ Bitcoin破6萬 / OT：恆大賣樓

https://t.co/uJIyNIaON4",2021-10-18T14:28:04.000Z,APPL,
102,788398708496867328,1450105905031233537,@SBICard_Connect my credit card appl. got rejected. Why i don't understand. I have been offered Credit card from various banks. But as old customer i want sbi card,2021-10-18T14:26:04.000Z,APPL,
103,188233441,1450105697023057930,"@0_appl おめでとうございます❗見事当選です✨

#スイートポテトパイ がおトクに楽しめるスペシャルクーポンプレゼント🎁DMで送りますのでフォローはそのままで👍

スイートポテトパイが入ったハロウィンバーレルも店頭予約受付中🎃➡️https://t.co/fvUxBMDKJQ #KFC",2021-10-18T14:25:14.000Z,APPL,
104,1446257204114321410,1450105420173873158,Last week we’ve been on a historic run. Only one loss. 🔥🏆 $SPY $APPL $TSLA $SNAP $DOGE $BTC https://t.co/Ssshf2HC3m,2021-10-18T14:24:08.000Z,APPL,
105,1128161036647817216,1450101770273783808,@appl_jus Try and find radical men elsewhere?,2021-10-18T14:09:38.000Z,APPL,
106,1388551930696241154,1450101166428196872,RT @projects_design: @BinanceHelpDesk @binance @BinanceLabs Hi.. I already appl my Case Id #77740282. My Cash already going 2 day but not r…,2021-10-18T14:07:14.000Z,APPL,
107,846738566084542464,1450100169589067782,"RT @yuthconnect: 📌National Agricultural Marketing Council

- Supply Chain Officer 
https://t.co/jvtHtYJaEv 
- Risk &amp; Compliance Manager
htt…",2021-10-18T14:03:16.000Z,APPL,
108,73595849,1450099417261002756,RT @HDblog: Galaxy Z Flip3 da 199€: Samsung supervaluta gli iPhone usati con prezzi Top https://t.co/P7vSrUn4QE via @HDblog https://t.co/Wh…,2021-10-18T14:00:17.000Z,APPL,
